id,nome,descricao,pontos,ativo,data_cadastro
1,ipa,,15,1,2026-01-23 02:02:12
2,lager,,5,1,2026-01-23 02:02:21
3,almoço,,15,1,2026-01-23 02:02:47
4,stout,,25,1,2026-01-23 02:03:01
5,pizza,,25,1,2026-01-23 02:03:16
6,porção,,15,1,2026-01-23 02:03:26
